,name,url,loca,entre,info
0,54gene,https://54gene.com,Endeavor Nigeria ,          Abasi Ene-Obong ,"54gene is a digital health and drug discovery platform that seeks to leverage under-represented African genomic data in research.
"
1,99 Minutos,https://mx.99minutos.com/,Endeavor Mexico ,          Alexis Patjane ,"99 Minutos is a last-mile logistics company that reliably delivers products from enterprise e-commerce clients to the customer’s doorstep in as little as 99 minutes at low cost.
"
2,Abarca Health,https://abarcahealth.com,Endeavor Puerto Rico ,          Jason Borschow ,"Abarca Health is a pharmacy benefits manager (PBM) that partners with health plans, employers, and government programs to manage drug costs and optimize the pharmacy and overall healthcare experience.
"
3,AcreTrader,https://www.acretrader.com/,Endeavor Northwest Arkansas ,"          Carter Malloy ,           Garrott McClintock ","AcreTrader democratizes the process of selling and investing in farmland. The company is an investing and trading platform that allows accredited investors to purchase shares of U.S. farmland in just minutes online. 
"
4,ADDI,https://addi.com/,Endeavor Colombia ,"          Daniel Vallejo ,           Santiago Suarez ","ADDI provides underserved consumers with simple, affordable and transparent loans at the point-of-sale. 
"
5,AeroSafe Global,https://www.aerosafeglobal.com,Endeavor Western New York ,          Jay McHarg ,"AeroSafe Global provides end-to-end cold chain logistics solutions to the biopharmaceutical industry. 
"
6,Alictus,https://alictus.com,Endeavor Turkey ,"          Ecem Baran ,           Emre Taş  ","Alictus is a developer and self-publisher of mobile games, focusing on the hypercasual genre and has released top-charting and long-lasting products such as Collect Cubes, Art Ball 3D, Spear.io, and Boas.io.
"
7,Altruist,https://altruist.com/,Endeavor Detroit ,          Jason Wenk ,"Altruist is a digital investment platform that puts powerful software and free trading into the hands of good financial advisors to automatically reduce taxes, fees, and risk.
"
8,AnyMind,https://anymindgroup.com/,Endeavor Japan ,          Kosuke Sogo ,"AnyMind Group is removing barriers and granting global brands direct access to Southeast Asia, Greater China, India and the Middle East’s massive consumer base.
"
9,AppHarvest,http://www.appharvest.co/,"Endeavor Detroit , Endeavor Louisville ",          Jonathan Webb ,"AppHarvest builds and operates greenhouses across the US.
"
10,Aruna,https://aruna.id/,Endeavor Indonesia ,          Farid Aslam ,"Aruna is an online fishery marketplace that enables fisheries to trade easily and transparently throughout Indonesia.
"
11,ASTI Mobile Robotics,https://www.astimobilerobotics.com/,Endeavor Spain ,          Veronica Pascual Boe ,"ASTI Mobile Robotics designs, manufactures, implements, and maintains driverless vehicle systems (AGVs – automated guided vehicles) used to move materials and products from place to place in factories and warehouses. The company was acquired by ABB in July 2021.
"
12,Athena,https://athena.studio/,Endeavor Vietnam ,          Luke Nguyen ,"Athena is one of the pioneers and top mobile casual game companies in the ad-based model worldwide.
"
13,Auth0,https://auth0.com/,Endeavor Argentina ,"          Eugenio Pace ,           Matias Woloski ","Auth0 is an identity and authentication platform designed to verify users and tackle identity fraud. The company was acquired for $6.5B by Okta in 2021.
"
